epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8799,0.87855,2.62872,1.25413,0.00333,1,0.39201,0.25157,0.35849,2.92243,0.93875,2e-05,2e-05,2e-05
2,64.0867,0.72574,2.50169,1.25436,0.00333,1,0.57106,0.43332,0.33074,2.90818,0.91827,5.8812e-05,5.8812e-05,5.8812e-05
3,87.3228,0.55065,2.36617,1.06067,0.00333,1,0.86512,0.74513,0.34172,2.87906,0.92291,9.604e-05,9.604e-05,9.604e-05
4,103.573,0.67355,2.00845,1.17632,0.00333,1,0.91345,0.82102,0.36211,2.82325,0.9464,0.000131684,0.000131684,0.000131684
5,119.766,0.62366,1.70686,1.14355,0.00333,1,0.9223,0.83089,0.36248,2.74642,0.95616,0.000165744,0.000165744,0.000165744
6,138.179,0.5911,1.4947,1.17535,0.00333,1,0.96631,0.8634,0.35625,2.70492,0.96564,0.00019822,0.00019822,0.00019822
7,175.149,0.51512,1.26051,1.07621,0.00333,1,0.98788,0.85745,0.40785,2.76299,1.00762,0.000229112,0.000229112,0.000229112
8,229.689,0.55405,1.25012,1.1207,0.00333,1,0.97603,0.79818,0.5629,2.8601,1.11058,0.00025842,0.00025842,0.00025842
9,256.333,0.57732,1.14651,1.05353,0.00333,1,0.96776,0.70276,0.68748,2.92212,1.17738,0.000286144,0.000286144,0.000286144
10,277.344,0.5441,1.08189,1.08875,0.00333,1,0.94222,0.70685,0.69426,2.90996,1.15523,0.000312284,0.000312284,0.000312284
11,300.438,0.55265,1.21017,1.14905,0.00333,1,0.93053,0.73577,0.60149,2.80632,1.08671,0.00033684,0.00033684,0.00033684
12,335.824,0.50887,1.04099,1.06118,0.86674,0.92,0.92084,0.75373,0.50109,2.68037,1.03192,0.000359812,0.000359812,0.000359812
13,358.206,0.52957,1.19959,1.02603,0.81931,0.16,0.92901,0.78407,0.4623,2.53849,1.01234,0.0003812,0.0003812,0.0003812
14,382.089,0.49899,1.04816,0.99492,1,0.60135,0.96713,0.82945,0.47591,2.57494,1.01949,0.000401004,0.000401004,0.000401004
15,404.085,0.55534,0.95364,0.97668,1,0.36271,0.9801,0.81113,0.50984,2.5819,1.04081,0.000419224,0.000419224,0.000419224
16,426.269,0.6137,1.18611,1.10617,1,0.50431,0.98056,0.82446,0.50161,2.53786,1.02081,0.00043586,0.00043586,0.00043586
17,443.061,0.49528,0.90779,0.98712,1,0.43909,0.97221,0.81774,0.48317,2.51741,1.02132,0.000450912,0.000450912,0.000450912
18,463.833,0.51023,0.96452,1.04266,1,0.59477,0.98833,0.85021,0.46375,2.42997,1.00092,0.00046438,0.00046438,0.00046438
19,486.785,0.5505,0.89363,1.04551,1,0.81101,0.995,0.86012,0.49818,2.34886,1.05932,0.000476264,0.000476264,0.000476264
20,516.392,0.46248,0.86912,0.96728,0.9479,0.72812,0.98115,0.87451,0.46757,2.38341,1.03681,0.000486564,0.000486564,0.000486564
21,542.001,0.45535,0.85419,1.00499,0.95631,0.48,0.93703,0.82122,0.50761,2.47116,1.08874,0.00049528,0.00049528,0.00049528
22,565.354,0.55261,0.86911,1.08495,1,0.50715,0.93013,0.80317,0.51605,2.4876,1.08407,0.000502412,0.000502412,0.000502412
23,581.192,0.50037,0.9236,1.00915,0.93412,0.56759,0.94162,0.7964,0.5534,2.40656,1.13589,0.00050796,0.00050796,0.00050796
